grafo_id,num_edges,ground_energy,ground_degeneracy,spectral_gap,iteraciones,energia_final,diferencia_ground,approx_ratio,gradiente_final,pool_size,runtime_min,initial_energy,converged
166,7,-14.0,12,0.0,40,-13.999829442779559,0.00017055722044112542,0.9999878173413971,0.009262146862432439,698,2.7003374973932903,-10.000000000000002,1
167,5,-10.0,24,0.0,17,-9.851851851482682,0.1481481485173184,0.9851851851482681,3.353042197365939e-05,438,0.28918044169743856,-10.000000000000002,1
168,5,-10.0,24,0.0,25,-9.99999999905766,9.423395397334389e-10,0.999999999905766,5.1090928830768314e-05,438,0.8329808274904887,-10.000000000000002,1
169,5,-10.0,24,0.0,25,-9.999999999009415,9.905853914915497e-10,0.9999999999009415,6.254580342958192e-05,438,0.8215025742848714,-10.000000000000002,1
170,8,-16.0,6,0.0,50,-15.976529851406237,0.02347014859376273,0.9985331157128898,0.17474327416925925,904,5.239306286970774,-10.000000000000002,0
171,5,-10.0,24,0.0,14,-9.999999998002497,1.9975026077645452e-09,0.9999999998002498,0.00010798690380599899,480,0.2511786937713623,-10.000000000000002,1
172,6,-12.0,18,0.0,45,-11.999849263019502,0.0001507369804976122,0.9999874385849585,0.003962764832371869,534,1.4675859252611796,-10.000000000000002,1
173,7,-14.0,6,0.0,50,-13.997730051289048,0.0022699487109516525,0.9998378608063606,0.014525404061134681,740,2.4356494228045147,-10.000000000000002,0
174,5,-10.0,24,0.0,28,-9.999999999576199,4.2380143838727236e-10,0.9999999999576199,9.158545213287954e-05,404,0.36634602149327594,-10.000000000000002,1
175,5,-10.0,24,0.0,25,-9.999999999730093,2.6990676360583166e-10,0.9999999999730094,2.2493462989269085e-05,438,0.2785980621973673,-10.000000000000002,1
176,9,-16.0,18,0.0,50,-15.997767768693466,0.0022322313065341604,0.9998604855433416,0.07000371449721535,1152,1.8028271675109864,-10.000000000000002,0
177,7,-14.0,6,0.0,50,-13.997730054664968,0.0022699453350316645,0.9998378610474977,0.0145160689790014,740,2.3618367751439413,-10.000000000000002,0
178,7,-14.0,12,0.0,20,-13.851751523630739,0.14824847636926108,0.9894108231164813,0.006607218962743835,698,0.23625227212905883,-10.000000000000002,1
